电影名,年份,上映日期,标签,时长,评分,语言,导演,作者,宣传语,简介
義薄雲天,(1984),1984/08/11 (HK),"剧情,犯罪",2h 19m,84,英語,賽爾喬·萊昂內,哈里·格雷,"Crime, passion and lust for power.",里昂尼將舞台由西部搬至紐約地下黑幫世界，以幾個猶太裔流氓的一生折射美國夢的陰暗。悠長肅殺的排笛聲迴盪風中，往事如煙飄到布魯克林大橋下，純真歲月恍如隔世。伴隨夢中人的優美旋律總是隔著停頓，像欲言又止、無處傾訴的情話。摩利哥尼重新改編《天佑美國》、爵士曲、披頭四等名曲，符合時空背景之餘，亦是對美國文化的致敬。原創和改編曲調不時無縫交融，猶如錯綜重疊的回憶與思緖，娓娓道來橫跨半世紀的史詩。
潛行凶間,(2010),2010/07/29 (HK),"动作,科幻,冒险",2h 28m,84,英語,基斯杜化·路蘭,,進入 最危險思維空間 掀動 最奇幻驚世罪幕,Dom Cobb 是一名精於潛盜的神偷，專門趁目標人物於睡夢狀態中思維最軟弱的時候，潛入他們的意識中盜取機密資料。Dom 的天賦技能使他成為商界間諜活動夢寐以求的的合作夥伴，但同時亦令他變成失去所愛的國際逃犯。此時，Dom 接受了一項新任務，只要事成便能得到一個重生的機會，但是，他卻要做到潛意識犯罪中最不可能的境界：潛植意念。Dom 與他的夥伴並不是如以往般策劃完美的盜竊行動，相反是要潛入目標人物最深層次的潛意識中，植入一項意念。如果他們能夠成功，這將會是開天闢地，史無前例的完美罪行。  但是，即使他們如何精心策劃行動的每一步，在這次任務的潛意兇間中，卻有一個神秘敵人如影隨形，彷似能預知他們計劃的每一步……而這個神秘人，則只有 Dom 能夠感應到其存在……
鋼琴戰曲,(2002),2003/01/24 (GB),"剧情,战争",2h 30m,84,英語,羅曼·波蘭斯基,羅納德·哈伍德,戰火無情 琴鍵無聲 心靈與天地奏鳴 為時代傷痕作證,1939 年，二戰爆發，當時只得 27 歲的華迪拉史標曼 Wladyslaw Szpilman (艾哲倫保迪飾演) 被譽為是波蘭最頂尖的鋼琴家，當德國空軍的飛彈擊落波蘭國營電台那一刻，收音機在播放的正是史標曼彈奏的「蕭邦夜曲升 C 小調篇」。身為猶太人的史標曼，與家人隨即被押解到華沙的強制性猶太人區。在納粹德軍控制下的華沙街道上，史標曼苟延偷生，以在夜店演奏維生， 可是，最恐怖的時候終於來臨，史標曼跟成千上萬的同胞被勒令登上前往集中營火車……就在此時，他得到一名德國軍官荷西夫 Hosenfeld (湯馬士祈舒曼飾演) 的幫助，成功避過集中營一役，還在六年的戰火中熬過來。
加百列的地獄 2,(2020),2020/07/31 (US),"爱情,剧情",1h 46m,83,英語,Tosca Musk,Sylvain Reynard,概覽,加布裏埃爾·愛默生教授終於發現了朱莉婭·米切爾身份的真相，但他的意識到為時已晚。茱莉亞最終希望這位受人尊敬的但丁專家會記住她，並且不想再與他有任何關係。加布裏埃爾能在別人的懷抱中找到愛之前贏回她的心嗎？
蜘蛛俠：飛躍蜘蛛宇宙,(2023),2023/06/01 (HK),"动画,动作,冒险,科幻",2h 20m,83,英語,肯普·鮑爾斯,賈斯汀·K·湯普森,It's how you wear the mask that matters.,Sony Pictures 榮譽發行、奧斯卡最佳動畫電影《蜘蛛俠：跳入蜘蛛宇宙》最新一章《蜘蛛俠：飛躍蜘蛛宇宙》即將登場！穿梭於紐約布魯克林大街小巷守護居民的「蜘蛛仔」麥爾斯，跟桂恩史德西重逢後，被神秘力量帶領進入一個充滿各式各樣「蜘蛛俠」的多元宇宙。當「蜘蛛俠」們遇到危險打算聯手抗敵時，麥爾斯卻發現自己與他們產生矛盾，更被迫要與其他「蜘蛛俠」對抗，他必需重新審視成為英雄的意義，才能守護他所愛的人！…
魷魚遊戲：第 2 季：製作特輯,(2025),2025/01/03 (HK),纪录,28m,83,韓語,,,概覽,從場景設計到角色發展，透過演員群與導演的獨家訪談，一窺這部全球收視冠軍影集的第 2 季如何製作。
沉默的羔羊,(1991),1991/05/10 (HK),"犯罪,惊悚,剧情",1h 59m,83,英語,喬納森·戴米,湯瑪斯·哈里斯,To enter the mind of a killer she must challenge the mind of a madman.,正在 FBI 受訓的實習探員克麗絲·史達琳，奉局長傑克·克勞福之命，前去探訪醫生漢尼拔·萊克特以換得追尋聯續殺人狂魔「野牛比爾」的線索。「野牛比爾」（一譯「水牛比爾」）是一個變態心理罪犯，犯下一聯串殺人案件，並且剝下死者的皮，犯罪手法令人髮指。
加百列的地獄 3,(2020),2020/11/19 (US),"爱情,剧情",1h 42m,83,英語,Tosca Musk,Sylvain Reynard,概覽,一個黑暗的人帶着惡意從茱莉亞的過去回來了。加布裏埃爾有他需要分享的秘密，但擔心如果他這樣做，他會失去一切。他們的關係會經受住秘密揭露的考驗嗎？他們對但丁和弗洛倫斯的共同熱愛會是他們所希望的一切嗎？
癲狂世代,(2023),2023/10/19 (MX),剧情,2h 5m,83,西班牙語,Christopher Zalla,,Think for yourself.,在一個飽受忽視、腐敗和暴力困擾的墨西哥邊境小鎮，一位沮喪的老師嘗試一種非正統的新方法來打破學生的冷漠態度，釋放他們的好奇心、潛力……甚至可能是他們的天才。
後窗,(1954),1955/06/30 (HK),"惊悚,悬疑,剧情",1h 53m,83,英語,亞弗列·希治閣,約翰·邁克爾·海耶斯,It only takes one witness to spoil the perfect crime.,此片被視為驚悚大師希區考克 (Alfred Hitchcock) 的經典代表作，以黑色幽默的手法，描寫情色偷窺的題材。此片曾獲奧斯卡最佳導演、攝影與劇本等多項提名。傑夫 (James Stewart 飾) 是一名攝影師，因為腿斷而被迫在家休養，為了打發時間，他開始透過自家的後窗，用望遠鏡偷窺這棟紐約小公寓中的其他鄰居。除了護士與女友莉莎 (Grace Kelly 飾) 的造訪外，傑夫幾乎花所有的時間來觀察鄰居，甚至還為他們幻想了不同的故事，他的鄰居包括了一個鬱鬱不得志的作曲家、一個倒楣的老處女、一個愛日光浴的女雕刻家、一個曲線玲瓏的舞者、還有一對害羞的新婚夫婦，最讓他好奇的，則是一個神秘的業務員拉斯 (Raymond Burr 飾)，他的妻子整天嘮叨不停。一日，傑夫又在偷窺鄰居時，發現拉斯故意拉下了窗簾，他太太的嘮叨聲突然就停止，從此便失去了蹤影。
造反有理,(1984),1984/10/19 (US),"纪录,音乐",1h 28m,83,英語,喬納森·戴米,,Why stop making sense? Why a movie? Why a big suit? Where do the odd movements come from? What will the band do next?,紀錄 Talking Heads 1983 年 12 月宣傳專輯 Speaking in Tongues 的演唱會表演
防彈少年團：燃燒舞台電影版,(2018),2018/11/15 (KR),"音乐,纪录",1h 25m,83,韓語,Park Jun-soo,,"From the deserts to the seas, we were always together.","防彈少年團的故事將被拍成電影, 11 月 CGV 上映! 據體育東亞獨家報道, 講述防彈少年團成長故事的紀錄片形式電影"
真愛留聲,(2026),2026/06/19 (HK),"爱情,喜剧,剧情",1h 59m,83,英語,Leah McKendrick,,Sometimes the universe leaves you a message.,一名年輕女子總愛留語音留言給已故的妹妹，內容坦率爆笑，而她不知道的是，留言都轉給了一個遠在他方的陌生人，對方還開始動了心。
回到未來,(1985),1985/12/14 (HK),"冒险,喜剧,科幻",1h 56m,83,英語,羅伯特·澤米吉斯,鮑勃·蓋爾,He was never in time for his classes... He wasn't in time for his dinner... Then one day... he wasn't in his time at all.,"故事發生在 1985 年的美國。主角馬蒂·麥佛萊（Marty McFly）是一個居住在加州山谷市保守家庭裏的 17 歲高中生，立志成為搖滾樂巨星。但馬帝的家境並不那麼好：馬帝的父親喬治（George McFly）是個懦弱的小上班族，常受上司畢夫·譚能（Biff Tannen）的刁難；母親羅蘭性格迂腐保守，看不慣任何新生事物。此時，馬帝正計劃著與女友珍妮佛（Jennifer）於週末時開家裏唯一的破車到湖邊露營；某天深夜，陪同與他交好的鎮上怪人布朗博士（Emmett ""Doc"" Brown）及博士的愛狗愛因斯坦，一起進行由德羅寧跑車 DMC-12 改裝而成的時光機測試，並負責攝影紀錄的工作，但不巧遇上利比亞恐怖分子向布朗博士追討用於驅動時光機的鈽、甚至槍殺了布朗博士。馬蒂為了躲避恐怖份子追殺，跳入時光車企圖逃離，但意外間開啟了時光機穿梭功能，回到了 30 年前。"
野獸良民,(1998),1998/10/30 (US),剧情,1h 59m,83,英語,托尼·凱耶,大衞·麥肯納,Some legacies must end.,Derek (Edward Norton) 是一個加州年輕人，他在父親被謀殺後成為一個新納粹幫派的領導人。他的弟弟 Danny，敬佩他，並跟隨他的仇恨和暴力的步伐。當 Derek 殺死兩個黑人竊賊時，他被判入獄三年，在那裏他改變了他的思想，因為他認識了其他囚犯。出獄後，他試圖讓 Danny 遠離種族主義和犯罪，但他遇到了他以前的同伴的抵抗和他過去的後果。
幽靈公主,(1997),1997/08/14 (HK),"冒险,奇幻,动画",2h 14m,83,日語,宮崎駿,,The fate of the world rests on the courage of one warrior.,日本室町幕府時代，群雄割據，戰事連年。人民為逃避戰火，被迫棲身森林。世局動盪，令森林之神大為震怒！東方地域的男孩「飛鳥」為保護家園，殺死了發狂的野豬王，自己亦因而受傷。求醫途中，他遇上由森林守護神白狼撫養成人的幽靈公主；亦目睹了武士屠城的慘況。另一方面，城主幻姬為了讓難民有安居之所，不惜砍伐林木加固城堡，並在城內鑄造武器對抗神獸及入侵的武士。三方爭戰不休、生死待決，令局勢更為混亂. . . 男孩「飛鳥」周旋其中，竭力為人與大自然兩股敵對力量尋求和解…
反斗奇兵 5,(2026),2026/06/18 (HK),"动画,家庭,喜剧,冒险",1h 42m,83,英語,安德魯·斯坦頓,Kenna Harris,It's on.,一班玩具朋友面對「莉莉平板」（Lily Pad）如臨大敵，嚇到騰騰震，誓要與現今小朋友最沉迷的各式電子科技產品決一死戰，大家最熟悉的玩具朋友胡迪、巴斯光年、翠絲，將聯同新舊玩具對抗史上最強敵人！
同級生,(2016),2016/02/20 (JP),"爱情,动画",1h 1m,83,-,中村章子,中村明日美子,"Sincerely, Slowly, Falling in Love.","關於青春期中的少年們的純情故事。高中入學測驗獲得滿分成績的秀才佐條利人，以及遭受女生歡迎異性緣滿點的樂團男孩草壁光，這樣「性個迥異」的兩人，直到合唱比賽練習為契機開始有了交流。放學後的教室裏，草壁教著佐條唱歌，感受聲音及旋律時，兩人的內心也逐漸契合。輕浮而純情、總是直率説出想法的草壁光，與冷淡拒絕卻不經意敞開心房的佐條利人，兩人不清楚對方的想法, 或許連自己的內心都不明白。緩慢滋長、萌芽成戀愛的感情，這個青澀的時期裏，焦躁困惑卻互相吸引的兩人，終於來到了為升學未來準備的時期……。"
生之慾,(1952),1952/10/09 (JP),剧情,2h 23m,83,日語,黑澤明,小國英雄,A big story of a little man which will grip your soul...,本片為日本電影大師黑澤明早期經典代表，以淡淡的筆觸，描述老人面對死亡的心情轉變，對現代人的冷漠亦有所批判。
紫羅蘭永恆花園劇場版,(2020),2020/10/22 (HK),"动画,剧情,奇幻,爱情",2h 20m,83,日語,石立太一,曉佳奈,概覽,從事代筆職業的她，名叫薇爾莉特艾佛加登。在讓人們傷痕累累的戰爭結束後數年，嶄新的時代來臨，世界也逐漸恢復平穩，生活並隨著新技術開發而改變。就在讓人們開始往前邁進之時，心懷思念重要之人的薇爾莉特，卻必須在沒有「那個人」的世界中活著。直到某天，她看到了一封信……
荒野機械人,(2024),2024/09/17 (HK),"家庭,动画,科幻,冒险",1h 42m,83,英語,基斯·辛達斯,,Discover your true nature.,夢工場近年最大突破的動畫力作 ——《荒野機械人》(THE WILD ROBOT)，環球影業發行，今個秋天首曝大銀幕，在全球一片驕人口碑之下驚喜現身！改編自美國作家暨插畫家 Peter Brown 筆下最受歡迎兼獲獎無數、【紐約時報】銷量冠軍的同名繪本小説，由《馴龍記》、《古魯家族》金像提名大導演掌舵，用刺激感人、惹笑幽默兼備的自成一閣風格，講述機械人 ROZZUM 7134（簡稱 Roz）在遇上海難後流落無人島上的故事。Roz 面對眼前惡劣環境，必須與島上動物打成一片好好生活，他還收養了小鵝孤兒，從這些關係中學懂怎樣追尋自我、審視科技與大自然之間奧妙的真意義
藍色恐懼,(1998),2021/08/18 (HK),"动画,惊悚",1h 22m,83,日語,今敏,竹內義和,"""excuse me... who are you?""",日本傳奇級動畫大師今敏一鳴驚人之作，推出超過 20 年仍不褪色的經典！偶像團體「CHAM! 」成員之一的霧越未麻，因公司政策單飛踏上演員之路。最初只是僅有一句台詞的閒角，為尋求事業突破而出演強暴戲碼，甚至拍攝全裸寫真。昔日的清純形象逐點逐點破滅，為自己的轉變及落差困惑不已的未麻，甚至開始出現幻覺，心中彷彿有「另一個自己」存在。與此同時，未麻身邊的工作人員相繼被殺害，自偶像時期已迷戀未麻的狂熱粉絲亦出現在她面前。穿梭幻境與現實，事件的真相到底是…？
配樂大師 : ENNIO,(2022),2023/06/01 (HK),"纪录,音乐,历史",2h 36m,83,意大利語,基斯比·湯納度,,概覽,一代電影配樂傳奇摩利哥尼畢生為數百部電影譜曲，包括《星光伴我心》、《義薄雲天》、《獨行俠決鬥地獄門》、《冰天血地 8 惡人》等經典作品。融合不同音樂類型，以前衞的聲音實驗衝擊世界，開啟電影配樂歷史新一頁。筆下佳作為光影增色點綴之餘，更是可供獨立欣賞的藝術瑰寶，至今仍叫不少影迷津津樂道。《星光伴我心》導演基斯比湯納度親自訪問合作無間的大師，回顧最初的古典音樂訓練及超過半世紀的創作生涯，甚至親述與奧斯卡多次擦肩而過的遺憾。塔倫天奴、貝托魯奇、王家衞、約翰威廉斯及奇連伊士活等知名導演、演員及音樂家紛紛獻上讚美之詞，足見大師地位非凡。
暴雨驕陽,(1989),1989/06/02 (US),剧情,2h 9m,83,英語,彼得·韋亞,託馬斯·舒爾曼,He was their inspiration. He made their lives extraordinary.,本片講述一間傳統學校的老師用反傳統的方法來教學生們詩歌、文學、生活的故事。電影不僅是主演羅賓·威廉斯的經典之作，同時也是一部講述師生關係的優秀電影。
這個殺手不太冷,(1994),1997/06/26 (HK),"犯罪,剧情,动作",1h 51m,83,法語,洛·比桑,,"If you want the job done right, hire a professional.",里昂（尚聯奴 飾）是紐約的頂尖職業殺手。當他的鄰居一家因毒品問題被殺害後，他無奈成為唯一倖存者 ——12 歲小女孩瑪蒂達（妮妲莉寶雯 飾）的守護者。但瑪蒂達不僅想獲得保護，更要向斯坦菲爾德 (加利奧文 飾) 報仇。她遂央求里昂訓練她成為殺手，為弟弟報仇。當里昂遇上瑪蒂達後，讓孤獨安靜的他生活起了變化，也成了他的唯一致命傷……
帶來靈魂：防彈少年團演唱會電影,(2019),2019/08/07 (KR),"音乐,纪录",1h 45m,83,韓語,Park Jun-soo,,"Forever, we are young.",據媒體報道防彈少年團 第三部演唱會電影《Bring the Soul：The Movie》確定將於 8 月 7 日全球同步上映並公開了海報。據悉，該電影記錄了防彈少年團從首爾開始經過眾多的城市，結束漫長的歐洲巡演後在圍坐在巴黎一個小小的屋頂舉行屬於他們自己的慶祝宴的模樣。另外，《Bring the Soul：The Movie》將展現防彈少年團 7 名成員各樣的魅力，他們率真坦誠的面貌將帶給觀眾心動和感動，該片將於 8 月 7 日上映。
獻給我的前妻,(2019),2019/11/08 (EC),"剧情,喜剧",1h 34m,83,西班牙語,Jorge Ulloa,Diego Ulloa,概覽,這部電影講述了 21 歲的阿裏爾的故事：為籌錢挽回瀕臨破裂的戀情、與前女友重逢，他決定組建一支搖滾樂隊，參加獎金高達一萬美元的樂隊大賽，這已是他最後的辦法——此前，女友因要前往芬蘭實習，兩人的感情走到了盡頭。阿裏爾和好友奧爾特加一起舉辦海選招募樂隊其他成員，盡管兩人對音樂一竅不通，最終還是組建起一支成員性格迥異、喜好截然不同的樂隊。
大獨裁者,(1940),1947/03/27 (HK),"喜剧,战争",2h 5m,83,英語,差利·卓別靈,,Once again - the whole world laughs!,差利·卓別靈（Charles Chaplin）自導自演的第一部有聲片，此片拍攝於希特拉（Adolf Hitler）氣焰最為囂張之時，片中對希特勒大加諷刺的情節顯示了其道德勇氣可嘉的一面。  這部電影由第一次世界大戰為起始點。卓別靈飾演一個未提及名字的猶太理髮師。他在戰爭期間救下一名叫 Schultz（由 Reginald Gardiner 飾演）的士兵。他們一起乘坐飛機離開了前線，但不久後燃油耗盡，撞上一棵樹。Schultz 成功逃過一劫，而理髮師失去了部分記憶，並在醫院裡住了二十年，不了解外界——托曼尼亞王國（Tomainia，影射納粹德國）發生的改變：Adenoid Hynkel（影射希特勒，卓別靈的雙重角色）此時成為托曼尼亞王國的殘暴獨裁者，並在其大臣 Garbitsch（音似 Garbage 或 rubbish，影射約瑟夫·戈培爾）（由Henry Daniell飾演）和 Herring（影射赫爾曼·戈林）（由Billy Gilbert 飾演）的協助下試圖迫害全國的猶太人。
We All Loved Each Other So Much,(1974),1974/12/21 (IT),"剧情,喜剧",2h 5m,83,意大利語,艾託尼·史寇拉,富里奧·斯卡佩利,A many splendored thing.,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond."
摩登時代,(1936),1937/05/07 (HK),"喜剧,剧情,爱情",1h 27m,83,英語,差利·卓別靈,,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!",《摩登時代》雖然是默片，但是實際上它包含聲音，比如收音機和電視機的聲音；卓別林以此來幫助 1930 年代已經不習慣看默片的觀眾來熟悉默片中觀眾聽不到的對話。這部電影中有一個情節，是卓別林的上司觀察他在洗手間偷偷地抽煙；這個情節比喬治·奧威爾於 1948 年所寫的《一九八四》中的一個類似的情節早了十多年，而同樣諷刺。《摩登時代》也是第一部可以聽得到卓別林本人的聲音的電影，電影結束時他哼的那支歌是他親自哼的。雖然如此，這部電影一般依然被看作是一部默片。
Out of the Clear Blue Sky,(2019),2019/12/24 (MX),"喜剧,剧情,音乐",1h 52m,83,西班牙語,Pepe Bojórquez,Alfredo Felix-Diaz,概覽,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise."
夜與霧,(1956),1956/05/22 (FR),"纪录,历史",32m,83,法語,亞倫·雷奈,讓·卡約爾,概覽,本片可説是戰後十年控訴納歲以及戰爭暴力最有力量的影片，在極為詩意、內化的基調中，娓娓道出納粹迫害猶太人的慘痛過往。黑白的歷史影像，與色彩卻殘敗得怵目驚心的現代場景交叉剪接，亞倫．雷奈沒有使用任何情緖性的字眼，一段段如詩的口白與影像，卻使這段歷史歷歷在目。影片在冷靜的唸白與近乎冷漠的影像中結束了，戰爭也是嗎？
制裁者：最後一擊,(2026),2026/05/12 (US),"动作,剧情,犯罪",51m,83,英語,雷納爾多·馬庫斯·格林,傑瑞·康威,Hey Frank.,當法蘭克卡索尋求超越復仇的意義時，一股意想不到的力量將他拉回戰場。
莫負少年頭,(1946),1946/12/20 (US),"剧情,家庭,奇幻",2h 11m,83,英語,法蘭·基勃拉,阿爾伯特·莫里斯·哈克特,It's a wonderful laugh! It's a wonderful love!,美國 AFI 百大經典之一，喜愛經典電影的人必看佳片，一流的劇本，一流的演技。生命的價值何在？讓這部片以不説教的方式告訴你。法蘭克卡普拉（Frank Capra）執導，詹姆斯史都華（James Stewart）主演。這是一部探討生命意義的電影，裏面談天使，也談相信奇蹟。喬治貝裏 (James Stewart 飾) 從小生活在貝福鎮 (Bedford)，他一直希望能離開這土生土長的地方，去看看外面新奇的世界並闖出一番事業。但每次當他打算離開時，小鎮總是會發生一些意外的危機，使得他無法抽身，不得不留下來。
紅樓金粉,(1950),1950/08/10 (US),剧情,1h 50m,83,英語,比利·懷特,查爾斯·威廉·布萊克特,A Hollywood Story: Sensational...Daring...Unforgettable...Sunset Blvd,比利·懷德（Billy Wilder）執導 1950 年代美國黑色電影經典之作，獲第 52 屆奧斯卡最佳改編劇本、最佳藝術指導（黑白片）、劇情或喜劇類最佳配樂三個獎項。在荷裏活的日落大道邊，有一個荒廢的豪宅，院子進裏的遊泳池裏發現了創作家 Joe Gillis（William Holden 飾）的屍體。故事就由這具屍體展開。失業又被分期付款所逼的 Joe Gillis ，逃到了默片時代的大明星 Norma Desmond（Gloria Swanson 飾）的大屋內，受她的委託，修改一個叫《莎樂美》的劇本，從而開始了他的劇作家生活。後來他們二人都被對方所吸引。Joe Gillis 對大導演 Max von Mayerling 作 Norma 的管家侍候 Norma 大為不解。劇本完成後，為了要把這本劇本送給老朋友 Sheldrake 導演，Norma 帶了 Gillis ，叫 Max 開車到攝影場。這位導演祇對這部老爺車感興趣，並不喜歡 Norma 的劇本，Max 和 Gillis 都不敢把真像告訴 Norma。這時 Gillis 對在攝影場劇本部工作的 Betty Schaefer（Nancy Olson 飾）一見鍾情，Norma 知道這件事後決意要破壞他們的感情，Gillis 非常生氣，將所有事情的真像都揭露了. . .
閃亮人生,(2011),2012/09/06 (HK),"剧情,喜剧",1h 53m,83,法語,埃里克·託萊達諾,奧利維埃·納卡什,一對不平凡主僕 逆轉不一樣人生,出身法國貴族世家的菲臘（法司華古薩 飾），因一次跳傘意外而幾乎全身癱瘓，只剩下情緖意識和思考能力，終身只能坐在輪椅上，全身無法動彈，唯有聘請一名能 24 小時照顧日常起居生活的看護。菲臘竟僱傭了剛剛出獄、住在巴黎近郊「廉租屋」的黑人男子迪維斯（奧馬司飾）來照顧他，二人一白一黑，一個説話文謅謅一個粗俗無聊，一個西裝筆挺一個愛穿底褲拖鞋，兩個生活在不同世界的人長時間相處下來，竟爆發出友誼火花，讓人生逆轉過來！
劇場版 五等分的新娘,(2022),2022/10/06 (HK),"动画,喜剧,爱情",2h 16m,83,日語,神保昌登,大知慶一郎,概覽,講述為了讓「瀕臨留級」又「討厭學習」的美少女五姊妹通過學校考試畢業，主角風太郎以兼職家庭教師的身分來到中野家指導她們的課業，也因此漸漸與五胞胎們培養出感情。
邊境奇襲,(2025),2025/02/28 (HK),"动作,冒险,惊悚",1h 25m,83,西班牙語,Chava Cartas,José Rubén Escalante Méndez,概覽,營救人質任務招來新敵人，格雷洛上尉和他率領的精銳士兵必須面對犯罪集團的伏擊。
狂沙十萬里,(1968),1969/09/25 (HK),"剧情,西部",2h 46m,83,意大利語,賽爾喬·萊昂內,塞爾吉奧·多納蒂,There were three men in her life. One to take her… one to love her —and one to kill her.,義大利西部片宗師李歐尼（Sergio Leone）的傳世經典之作，繼與克林伊斯威特合作「鏢客三系列」之後，李歐尼這部近三個小時的長篇鉅作，被稱之為影史上最偉大的西部片。
新世紀福音戰士劇場版：Air／真心為你,(1997),1997/07/19 (JP),"动画,科幻,剧情,奇幻,动作",1h 27m,83,日語,庵野秀明,鶴卷和哉,The fate of destruction is also the joy of rebirth.,《新世紀福音戰士劇場版：THE END OF EVANGELION》（日語：新世紀エヴァンゲリオン 劇場版 THE END OF EVANGELION - Air/まごころを、君に）是新世紀福音戰士第2部動畫電影，分成Air與真心為你兩個部分。製作這劇場版的原因是由於TV版的結尾兩集只描寫了主要角色的心理，而沒有交代故事的結局，所以本作才是新世紀福音戰士真正的結尾。 而TV版結尾是庵野秀明要闡述自己的思想開導社會適應不良者。片中一問一答的對話是一種精神分析和精神治療的方式，透過對主要角色的心理分析和試圖解決他們的障礙來向觀眾傳達具有教育意義的思想。這種內容對劇情發展沒有助益，但是具有教育價值。
現代啟示錄,(1979),1980/03/27 (HK),"剧情,战争",2h 33m,83,英語,法蘭西斯·柯波拉,約瑟夫·康拉德,This is the end...,1968 年，特種部隊上尉班傑明·韋勒（Benjamin L.Willard）奉命前往越南「制裁」已失去控制的上校華特·寇茲（Walter E.Kurtz）。寇茲已不受上級指揮，在中立的柬埔寨指揮自己的部隊，並被土著當作半神崇拜。在溯遊而上的過程中，韋勒見證美軍使用各種激烈殘暴的行為來殺害人類，讓他不禁開始思考所謂文明的意義。一日，韋勒得知六個月之前有人被指派相同的任務前往刺殺寇茲，但是失敗；上級説他自殺，後來韋勒發現他實際上加入了寇茲。最後在叢林深處，韋勒終於找到寇茲；片末韋勒用大砍刀殺死寇茲，最後在土著的注視及膜拜下帶著寇茲留下的紀錄與最後一名船員蘭斯一同乘船離開。
螢火之森,(2011),2011/09/17 (JP),"爱情,动画,奇幻",45m,83,日語,大森貴弘,,概覽,《螢火之森》是由《妖怪連絡簿（夏目友人帳）》漫畫原著 綠川幸所作的短篇漫畫作品。
猶瑟與虎魚們,(2020),2020/12/25 (JP),"动画,剧情,爱情",1h 38m,83,日語,田村耕太郎,桑村沙耶香,Together they can fly.,與祖母住在一起、不良於行的少女喬瑟，雖然從小坐在輪椅上，卻因為熱愛繪畫與書籍，讓她能以天馬行空的想像力活在自己所構築的世界當中。專攻海洋生物學的男大生恆夫，為了能夠出國留學並親眼看見墨西哥的幻之魚群，而努力打工實現夢想。某日喬瑟的祖母給恆夫一份工作，要他陪伴在喬瑟身邊……
